comment,labels
"vải dày nha mng hình in rất rõ và đẹp , các bạn nên mua đi ạ như hình luôn á , cảm nhận thật lòng của mình nhé ❤😄 vải dày nha mng hình in rất rõ và đẹp , các bạn nên mua đi ạ như hình luôn á , cảm nhận thật lòng của mình nhé ❤😄",2.0
áo đúng như hình.chất liệu vải cũng tạm ổn.nhưng phần tay áo hơi rộng xíu.nhưng với giá bán này thì ok,2.0
"thực sự thì vs giá tiền nv rất rất  .😍😍
duy nhất 1 chút lỗi là đường chỉ ở cổ áo hơi lỗi xíu nhưng vẫn ok ",1.0
hàng đúng mẫu chất lượng thì chưa biết được nhưng giá này là quá hợp lý cảm ơn shop nhé ,2.0
"cw ổn chất liệu vải ko đc tốt cho lm nhưng cw phù hợp vs giá tiền mà nói chung là ổn
em cảm ơn shop ạ ",2.0
"tôi rất thích cái áo này 
tôi đem lên lồ khoe với các bạn các bạn nói đặt mua quá trời
tôi sẽ mua nhiều áo nếu có dị  ",2.0
chất vai đẹp hàng giao nhanh ship pers dê tinh thân thiện .se ung hô dài dai ao  thun,2.0
"Sản phẩm rất ưng ý, chất liệu mềm mại, mát mẻ, vừa rẻ, vừa đẹp, đóng gói rất kỹ, giao nhanh  ",2.0
"Sản phẩm đúng mô tả vải mặc mát ,tầm giá vừa túi tiền ok ",1.0
đạt tiêu chuẩn đẹp tôi rất thích mà giao hàng nhanh nữa,2.0
"Áo mua về màu trắng xoá , lại còn cái ống tay dài rất đẹp Áo rất đẹp",2.0
"chất lượng tốt, mặc vừa, màu đẹp,  nên mua  ",2.0
Rất đẹp shop rất uy tín hàng đẹp chất lượng cao,2.0
Áo khoác rất okkk!!!!! Y hình!!!!! Đẹppppp!!!!!!!!!!!!!!! OKKK,2.0
Hàng đúng như trong hình 😋😋 ,1.0
Hàng như hình. Đẹp. Gói cẩn thận,2.0
"Sản phẩm đúng mô tả, khi lắp có 1 lỗ ốc bị lệch phải khoan lại. Lục giác vặn ốc kèm theo là đồ dỏm, vặn vài cái là tuôn ren :)) Sản phẩm ổn so với giới thiệu",0.0
"Ráp hơi nhiều chi tiết nên nhờ chồng ráp luôn, gỗ sáng màu, ráp xong đem vào phòng treo đồ lên nhìn gọn hẳn
Tinh ra rẻ hơn so với các loại tủ gỗ khác Đẹp, ",1.0
"kệ nhỏ nhẹ, tuy nhiên lúc ráp vào không cân đối 100% (phía trên dài hơn phía dưới) để được quần áo nhỏ nhẹ. tiền nào của đó. ",1.0
"Sp đẹp & gọn! Có thể dùng tuốc nơ vít để vặn vít vào! Do ko có hướng dẫn, nên mn xem hình, ráp sơ trước để đảm bảo các thanh đúng vị trí, rồi hãy vặn vít chặt vào. Đẹp & gọn!",2.0
"Mua của Morning House, khá ổn trong tầm giá, phụ kiện và lỗ khoan đầy đủ.
Chất gỗ bình thường vì nói chung giá cũng rẻ nên không yêu cầu nhiều. Tốt",1.0
Mua rất  quần sịp chất áo gió thì siêu đẹp giao đùn màu nhanh,2.0
"Shop giao đúng màu, đúng size mình đã đặt, cảm ơn shop nhiều nhé ❤️  ",2.0
"Tay rất rộng, nhưng đẹp ",1.0
Áo đẹp.,2.0
"Áo rất là đẹp luôn, cải siêu mịn, ít nhăn, form đẹp. Mà giá lại quá mềm.
Sẽ ủng hôn shop thêm vài cái nữa. 
Ps: ảnh any mặc nè, vừa in Còn gì chê nữa khi nhận hàng đẹp",2.0
"Mặc thì vừa, gần giống mô tả. Áo còn nhiều đường chỉ may chưa dọn kỹ, khuy áo làm vội vàng không sắc sảo! ",1.0
"Gao hàng đúng size, đúng màu, cho kiểm hàng trước khi nhận -  chất lượng, kiểu dáng giống như miêu tả. Đã mua 2 cái size XL",1.0
"Shop đóng gói đơn hàng rất kỷ, hai áo đều có mạc và logo như hình 
Thời gian giao hàng rất nhanh  ",2.0
"Đầy đủ Shop giao hàng khá nhanh và đóng gói cẩn thận 
Mọi người nên ủng hộ shop nhe Vote 5 sao Chất lượng sản phẩm tốt, rất đánh mua",2.0
Áo đúng hình quảng cáo số nhỏ kg đúng3xl nhỏ quá kg đúng tiêu chuẩn,2.0
"áo đep giao đúg sz .chat lieu mêm ,vs gia tiên nhu vay thi qua dep  ",2.0
"áo đẹp , chất liệu vải mềm mịn thoáng mát ,nói chung  Áo đẹp",2.0
vải chất lượng tốt. cảm ơn shop.,2.0
"Thường mình mặc size m,mà phom m của gu mac hơi rộng k hợp với mình ",1.0
vải sao khi giặt nhăn cần ủi form áo đẹp ,0.0
Áo bị một số ố vàng,0.0
Sp tốt hơn mong đợi,2.0
"sản phẩm đẹp như hình, chất vải dày dặn, đường may đẹp, giao hàng nhanh hơn dự kiến, cảm ơn Tiki nhé Áo đẹp và chất lượng",2.0
"Sản phẩm mặc form đẹp,chỉ có nón vải không đẹp nhưng chấp nhận được, xin cám ơn ",1.0
"áo có mùi nước tẩy qua hội,giật 2 lần vẫn còn mùi,xấu hơn trong hình dang ban ",0.0
hàng đúng mẫu giao hàng nhanh sp ok,2.0
Sản phẩm như hình jeans đẹp ,1.0
"Mình rất  về sp, vải mềm mịn và mát mẻ. Đóng gói kĩ càng,  mình rất thích. Cám ơn shop nhiều  ",2.0
"Vải áo mặc mát , nhẹ , co giản tốt !.
Nhìn chung thì sản phẩm phù hợp với giá tiền !. ",2.0
"sản phẩm đẹp, chất lượng, chất vải mặc mát  nhân viên giao hàng khá vui vẻ   về sản phẩm",2.0
"Áo đẹp nhưng chưa  hai tay áo, tay áo may nhỏ không xăn lên được ",0.0
"hang đúng chất lượng. guai hàng nhanh.
ấn tượng a shiper ",1.0
"đóng gói sản phẩm chắc chắn, chất lượng ok.  ",2.0
Áo mặc ngon và hợp với giá tiền,2.0
đẹp nhưng phom chưa chuẩn lắm ,1.0
"- Ưu điểm của sản phẩm: Đường may tỉ mỉ, cẩn thận, thiết kế form đẹp, đúng như ảnh. 
- Điểm chưa được (ý kiến chủ quan): Vải mỏng nên khá mềm (mình thích vải dày hơn 1 chút), màu Xanh đen chứ không phải màu đen như mô tả.
Đánh giá chung: giá vậy là hợp vớ",1.0
"Thích kiểu này lắm mà xem đánh giá ai cũng kêu cổ rộng. Thực ra nếu mặc đi làm thì rộng chứ mặc đi tiệc, đi chơi thì ko rộng đau ạ. Vừa à  ",2.0
sản phẩm bị lỗi nhưng được shop hỗ trợ rất tốt và thời gian đổi hàng rất nhanh,2.0
"áo vải rất đẹp , thoáng , nhẹ, giá lại rẻ, gumac dễ thương con tăng thiệp đang yêu  ",2.0
áo giống hình. mặc đẹp. mình rất ưng. mua 5 sản phẩm của shop cái nào cũng ưng ý,2.0
"Áo mặc cũng ổn nè, phù hợp đi chơi nha, vì cổ khoét hơi sâu  ",2.0
"vải mát, co giãn tốt. tôn dáng.  ",2.0
"Vải đẹp, mặc xuất sắc.",2.0
sản phẩm như hình chất liệu như mô tả mặc đẹp vải ít nhăn và mát  form rộng như mô tả Đẹp,2.0
"sản phẩm y như hình mẫu, vải mềm mượt đẹp... nói chung sp này ok. ",2.0
chất liệu ưng ý nhưng cổ áo hơi rộng mà k sao quá rẻ cho 1 sp như v,1.0
"Áo đẹp lắm nha shop, chất vải mát  ",2.0
sản phẩm tốt. shop uy tín ,2.0
Nhận đủ hàng đóng gói rất chuyên nghiệp sản phẩm nhận được không bị móp hàng giá cả rất tốt chất vải mát đáng tiền mua cảm ơn,2.0
sản phẩm cũng tạm được. so với tầm giá vậy là ok ,1.0
tui rất  với những món hàng tui mua,2.0
"vãi mỏng, giá như vậy rất ok ",2.0
"Cám ơn shop , bé trai nhà mình cực kỳ thích. Lúc mình đặt hằng ko nghĩ dc vậy . Vải mềm, ko quá dày,  phù hợp với khí hậu tphcm. Shop giao hàng rất nhanh Áo khoát Free Fire Hoodie",2.0
"chất liệu dãi ok...nhg lỡ mua nhằm sai XL..hơi to.cho nên mấy bn nữ muốn mua thì chọn sai S là đc rùi ..sai XL chỉ dành cho mấy bn nam, cao ..còn đứa nấm lùn như tui cao m50 mặt tới đuồi  ",1.0
bình thường,1.0
"Hàng rất đẹp, chất lượng mong nhà phát hành ra thêm nhiều mẫu mã và sản phẩm khác nha  ",2.0
đẹp. đúng mô tả. rất . sẽ ủng hộ shop. mong là những sp khác cũg ok như vậy đẹp. đúng mô tả. rất ,2.0
"sản phẩm rất đẹp, shop tận tình tôi rất thích tôi cho 5 sao  ",2.0
đây là lần đầu mk mua áo trên tiki sản phẩm tốt  rất tốt,2.0
hàng đẹp nhưng giao hàng hơi lâu nên cho 4sao thôi ,1.0
đẹp rất giống trong hình ........................ đẹp,2.0
"Thật lòng mà nói áo đẹp, lên dáng trông rất ok. Áo vừa vặn vs giá sale chứ vs giá gốc 890k chắc ít người xuống tay.  ",2.0
"Sp tốt, cháu tôi rất thích, đẹp  ",2.0
rất đẹp giống theo hình,2.0
qua cầu,2.0
Rất đẹp ! Chất lượng tốt . Sắc nét . Rất  . Giao hàng nhanh . Đặc biệt ng giao hàng cực kỳ tử tế,2.0
tủ khá ok. nhiệt tình lắp ráp vận chuyển,2.0
rất tốt,2.0
xuất sắc,2.0
 sản phẩm tốt,2.0
"Kệ rất đẹp, gỗ chắc chắn ,nhưng không có hướng dẫn sử dụng",1.0
"Kệ rất đẹp, chắc chắn, lắp ráp cũng đơn giản và gọn gàng. Phong cách trẻ trung ",2.0
Khá đẹp và chắc chắn trong tầm giá 1 triệu. Kết hợp với móc gỗ và hộp vải đựng đồ thì tuyệt vời !,2.0
"Ráp xong để trong phòng thấy rất đẹp, mua cái to xếp gần cái nhỏ thấy cái nào cũng đẹp Rất ",2.0
"Hàng giống hình - , chỉ là lỗ khoét sẵn hơi nông, nên vặn vỉt hơi khó khăn  ",1.0
"Hỗ trợ khách hàng 100% mặc dù vẫn trong giai đoạn lễ tết. 
  👍🏻👍🏻👍🏻 Good",2.0
"Chất liệu ổn, phù hợp giá tiền nên mua nếu có màu đen thì tốt  ",2.0
Chất liệu rất đẹp. Mình bụng to nên mặc không đẹp lắm,1.0
Chất vải tốt và thoải mái.,2.0
"áo chất mặc rất thích, kiểu và màu đẹp như hình  ",2.0
Vải mềm mát mặc vừa đẹp,2.0
kiểu mặc lên ko đẹp lắm ,0.0
vô cùng . a ship dễ thương,2.0
"áo đẹp chất liệu tốt nói chung là đẹp 
tiki giao hàng sớm nhưng đc áo đẹp giống hình ok",2.0
"áo đúng như trên hình, tuy không được chọn size nhưng may mắn là shop gửi suze L rất vừa vặn với mình. Khá , 4sao:)  ",2.0
tôi cảm thấy nó rất đẹp chất lượng cũng tốt nữa,2.0
Có điều hàng giao hơi chậm và áo có chút chỉ thừa ae cắt đi là ok nhé ,1.0
"đống gói rất kĩ, hàng tốt ",2.0
"áo đẹp , vải chất lượng , shipper thân thiên ^.^  ",2.0
"hàng y hình, nói chung trong giá đó là ok, giao hàng nhanh ",2.0
"áo mẫu đẹp nhưng may thì nhiều lỗi quá,đường chỉ bung ra ",1.0
"vô cùng chất lượng, rẻ, vừa túi tiền.
Mình trc đó đã xài qua loại dây đai này rồi, mua ở shop khác, nhưng lần trc mua dây đai nó lỏng quá, dài hơn so với vòng eo gầy của mình, nên khi đeo vào phải siết lại mới giữ áo thẳng đc.
Còn dây này thì ko cần, hơi chật so với vòng eo mình, nhưng nhờ vậy mới giữ áo sơ mi thẳng ko bị bung ra. Nhưng vs người mập sẽ khá chật đấy. 
Shop nên để size để khách biết chọn dây nào phù hợp với vòng eo của họ  ",1.0
"Sản phẩm dùng ok, giữ áo chặc nha mọi người, so với sô tiền 50k thì mình không đòi hỏi gì hơn. Dùng cũng được",1.0
"Cũng được, giành cho những áo sơ mi dài chứ ngắn quá k dùng đc. ",1.0
"tốt rất  về sản phẩm, đóng gói cẩn thận giao hàng nhanh. Form áo mặc rất đẹp  ",2.0
"sản phẩm rất đẹp, cực thích tiki vì đóng gói rất cẩn thận  ",2.0
"Áo đẹp, giao hàng nhanh mùng 5 đặt mùng 8 lấy đc hàng r  ",2.0
nói chung mẫu cũng tạm ,1.0
Đẹp các bạn ạ chất vải ok ,2.0
"đồ đẹp,vải mát,nhưng tiếc quá bé mình mặc không hợp tiki cho mình đổi mẫu khác được không ạ ?  ",1.0
"Hàng nhận vừa ý, đồ mặc ngủ là hợp lý. Rộng rãi, thoáng mát.  ",2.0
"Vải mịn, mát. Vừa đặt thêm combo nữa  ",2.0
hàng đẹp.đúng mô tả.vừa túi tiền.,2.0
Sp hợp túi tiền,2.0
Rất tốt,2.0
"Chất liệu vải tốt, mẫu áo đẹp nhưng mặc không vừa.",1.0
" Tiki giao hàng nhanh đóng gói cẩn thận, sẽ tiếp tục ủng hộ shop, ủng hộ Tiki ÁO ĐẸP - GIÁ TỐT",2.0
shop có mình đổi được không ạ ?,0.0
"Áo size L bình thường mình mặc vừa nhưng size L của shop hơi nhỏ. Chất vải mát và mềm, mặc rất thích. ",1.0
Hàng như mô tả. phù hợp giá tiền. Tiki giao hàng nhanh hơn dự kiến Hàng như mô tả,2.0
Ok,2.0
"Tiki giao hàng đúng hẹn, gói kĩ.",2.0
"Áo đúng như shop mô tả. Đẹp, xịn, .",2.0
Giao hàng nhanh. Giao sai màu,1.0
Tôi chưa nhận được hoá đơn. Shop vui lòng giao hoá đơn.,0.0
Cúc bấm rất khó bấm nhưng rất dễ bung cúc ra khi đi xe ,0.0
áo đẹp và rộng rãi rất ,2.0
áo chất đẹp. ,2.0
"Sản phẩm ok 
  ",2.0
Rất đáng tiền bỏ ra chấp nhận được vải mặc mát mẻ giá cả tốt,2.0
Tôi đã nhận được sp rất đẹp cảm ơn shopp rất nhiều đáng mua,2.0
Size áo so với cân nặng thực tế hơi nhỏ .e mk 80kg mà mk chon size 85kg mà mặc vẫn bị trật ,0.0
so với giá tiền thì như vậy là khá ổn. chất liệu vải thì không đc xịn lắm ,1.0
"Vải hơi mỏng nhưng so với giá tiền thì ok, nhưng mặc không vừa",1.0
"Sản phẩm màu sắc đẹp,chất liệu vải mềm tốt,  giống hình quảng cáo ",2.0
"Chất lượng áo khá chất lượng (vải, màu sắc), sản phẩm như hình. Tuy nhiên, có 1 số vấn đề khi chọn size.",1.0
"Sản phẩm đẹp, màu sắc y như hình",2.0
"Chất vải ổn, rẻ so vs giá.",2.0
quá tốt,2.0
"nói chung là đồ oke , đúng với ảnh minh họa mà shop đề ra. chất liệu vãi với giá tiền như vậy là rất chi oke",2.0
"áo vải mềm mát, mặc rất thoải mái  ",2.0
mẫu này  màu trắng thì ok mà màu xanh vãi kém hơn. đường chỉ kém ,1.0
"Sản phẩm chất lượng tốt, độ uy tín của shop cao ! √√√  ",2.0
áo đẹp. chất lượng ok so với giá tiền,2.0
đẹp rất vừa cảm ơn shop ,2.0
ok sản phẩm giống mô tả,2.0
tuyệt vời,2.0
áo tạm được ,1.0
chất lượng giao hàng oki nhưng chất vải rất tệ,1.0
"SẢN PHẨM MỎNG QUÁ, KHÓ MẶC  ",0.0
đúng mẫu đúng màu fom mặc rất đẹp vừa vặn. Sẽ ủng hộ shop nữa. ,2.0
Sản phẩm tốt ok ..,2.0
"hàng đẹp trong tầm giá, chất liệu vải thì cũg tạm được thôi với giá tiền  ",2.0
"Vải ok , màu tối hơn hình. Mình mua size M bị chật , có thể đổi size bù tiền đk ko ah?  ",1.0
"sản phẩm đẹp, form chuẩn, chất liệu mặc rất ok, cảm ơn shop shop uy tín, bán hàng chất lượng",2.0
Đường may đẹp.,2.0
chất vải đẹp. màu k giống hình lắm ,1.0
"Tay hơi rộng , áo thi ok , mát ",1.0
tủ chắc chắn rộng rãi để đc nhiều đồ. y như trong hình mô tả. tủ đẹp sang trọng sáng phòng,2.0
Tủ có vẻ chắc chắn và đẹp mắt. Mỗi tội bị hơi mùi nhựa. Mong là nhanh hết mùi là ok. ,1.0
"Sản phẩm đẹp mắt, mình rất thích  với sản phẩm này.",2.0
Tủ đẹp và giá rẻ.mọi người có thể mua.nhân viên giao lắp tận tìh.,2.0
sản phẩm đẹp mình rất thích,2.0
Hàng đẹp nhìn giống tủ gỗ CN,2.0
áo khoác vừa chất liệu hơi mỏng một chút,2.0
áo đẹp rất đáng mua tui hơi mỏng,2.0
Vải hơi xấu vs hơi nhăn ,0.0
Áo đẹp nha!,2.0
rất hài lòng,2.0
Đúng tiền nào của nấy... chắc sài 2 3 ngày  nhão ra ,2.0
chất lượng tốt. ,2.0
"vải mềm, mát ,dày vừa phải",2.0
"cái chất vải mềm mát, dáng cũng ổn đó áo đẹp vải mềm mát",2.0
rất ưng vải đẹp dáng chuẩn ,2.0
"áo vải mềm mát nhé, dáng suông rộng đc, cám ơn shop và tiki  ",2.0
"Vải tốt, mình thấy còn đẹp hơn trong hình ☺️  ",2.0
ok,2.0
"Áo đẹp, béo thêm tí là chật. Thử áo xong thấy hơi ngứa người ",1.0
áo này thích hợp mặc vào mùa thu hơn.,2.0
vải dày mịn đẹp,2.0
giao hàng kém chất luong không giống như hình,0.0
Shop cho tôi đổi hàng lại thành size XL được không ạ. ,1.0
"Áo đẹp, mặc mát thích hợp trong trời lạnh",2.0
Tôi muốn đổi size áo từ M thành XL có đc không,0.0
giờ đổi thành size M được không tiki? ,0.0
 mặc thử thấy nhỏ quá ! Mình có đổi lại size to hơn XXL được ko ?? Áo bị nhỏ,0.0
sản phẩm rất đẹp phù hợp gá tiền .sản phẩm rất đẹp,2.0
sản phẩm đẹp nhưng dư chỉ hơi nhiều ,1.0
Vải đẹp đúng như trên shop quảng cáo. Chỉ bung ra nhiều ,1.0
"Áo mặc khá đẹp, giống trong hình.
Nhưng size bị nhỏ rồi, có thể cho mình đổi lấy size lớn hơn không vậy ",1.0
"Sản phẩm đúng như giới thiệu. Tôi rất ưng ý.
Cảm ơn và chúc KOJIBA và TIKI ngày càng phát triển hơn nữa. ",2.0
"Áo đẹp, chắc chắn.
Có điều hơi nhỏ so với người lớn. Tà áo hơi tóp đuôi, dễ ướt phần đùi. ",1.0
"sản phẩm như quảng cáo mềm, chống nước tốt, rộng thêm thì tốt. ",2.0
Áo mưa to ,2.0
ok,2.0
sản phẩm vải không đẹp lắm nhưng với giá này thì như vậy là được rồi. ,1.0
sản phẩm giao nhanh giá cả hợp lí nhưng tiếc là tiền nào của nấy nên chất vải chưa tốt lắm ,0.0
"chất vải hơi bóng so với tưởng tưởng, dây áo cũng không giống, nhưng mà giá nào của đấy thôi không giống hình lắm",0.0
sản phẩm chất lượng tốt giống như trong hình nhưng shop nên đổi bao bì đẹp hơn😂😂,2.0
vải hơi mỏng nhưng với giá thành nàu thế cũng ổn.,2.0
"hàng như hình, tuy nhiên hơi mỏng, mặc cho đẹp chứ giữ ấm thì k nhé 😂😂😂 ",1.0
áo rất đẹp mình rất ưng vừa nhận 1 cái thấy đẹp quá đặc thêm 3 cái nữa ❤️❤️❤️,2.0
em rất . nhận hàng y như hàng mình chọn.YÊU TIKI,2.0
"Vải mịn đẹp, giao hàng nhanh.  ",2.0
vải đẹp và mat,2.0
 ,2.0
"Áo dầy, may đẹp.  ",2.0
Hàng đẹp y hình. Nhưng do mình mua trừ hao quá tay nên hơi lớn. Chờ bé lớn tí cho mặc sau. Cho 5* chất lượng nhe!,2.0
đồ rất đẹp mọi người nên ủng hộ shop ạ mình đã ủng hộ nhìu lần rồi và ko lần nào thất vọng,2.0
đẹp. đường may ổn. màu sắc ok. bé mình 14k5 size 6,2.0
Vải đẹp mát,2.0
Tôi đã nhận hàng nhưng do tôi chọn size hơi lơn nên muốn đổi size nhỏ hơn 1 số có được kg ? Muốn đổi size nhỏ hơn,1.0
"Áo vải đẹp nhưng size M nhỏ quá, mong muốn đổi size L hay XL thì đổi thế nào shop ơi? Thanks ",1.0
"hàng đẹp, dán chuẩn mà mặc vừa y. ",2.0
"Shop giao hàng đúng mẫu, tư vấn size mặc vừa, vải chất lượng. Đường may chắc chắn, thẩm mỹ. Ủng hộ shop lâu dài. Sản phẩm chất lượng.",2.0
"Áo đẹp, giao hàng nhanh, đóng gói ok, là áo form hơi rộng  ",2.0
áo đúg trong hình... vải mịn đẹp... mình rất,2.0
"hàng đẹp, rất  ",2.0
"Thật lòng mà nói mua hàng trên tiki là xịn nhất 
Áo mình nhận đúng màu đúng size vải sờ thấy mịn mát tay rất thích! Áo đẹp, vải ok, mặc vừa",2.0
"Đôi chỗ còn chỉ thừa, nhưng vải rất đẹp, mềm mại hợp ý mình, đường may cũng khá kỹ, mũ giấu bên trong cổ áo rất tiện luôn không thích có nón thì chỉ việc cuốn lại, màu lên đẹp, đậm, nhân viên tư vấn dễ thương, giao hàng lại nhanh.  ",2.0
"màu áo của shop đẹp nhưng hơi ít màu mong shop ra thêm màu để mình có nhiều lựa chọn hơn, shop có giao nhầm màu cho mình nhưng cũng may màu mình cũng thích nên ok vẫn cho shop 5 sao lần sau để ý tí  ",1.0
"mua áo của shop lần nào cũng an tâm, mình mua nhầm size hỏi shop tư vấn đổi size cho luôn, bạn nhân viên thì dễ thương mà còn nhiệt tình nữa, sẽ là khách trung thành của shop  ",2.0
"Mình rất thích áo này, có 3 túi khá tiện để bỏ đồ, hai túi hai bên có dây kéo tiện bỏ tiền hông sợ mất với có cái mũ dấu tiện lợi khi mưa có thể kéo ra dùng  ",2.0
"Shop giao nhầm size nhưng đổi lại rất nhanh chóng. 1,5 ngày là nhận được rồi. Nhân viên giao qua đơn mới và lấy về lại đơn cũ luôn. Mình chẳng phải trả thêm chi phí gì cả. Dịch vụ rất tốt. Shop giao nhầm size nhưng đổi lại rất nhanh chóng",2.0
"áo khoác dù của shop form dáng đẹp mình mua cho tặng cho thằng em mở ra xem thấy ok, đường may đẹp không bị lệch như hàng ngoài chợ, shop giao hàng nhanh nữa  ",1.0
"áo có túi bên trong to và sâu nữa đựng được điện thoại, ví khóa kéo không bị rít, dễ dàng kéo lên kéo xuống, giao hàng nhanh chóng  ",2.0
"lần trước mình mua áo khoác goking nhưng loại không nón, hôm nay lướt thấy cái có nón quất luôn, áo của shop thì yên tâm mà mua thôi  ",2.0
"Rất , đường chỉ may sát, đều đẹp. Vải dù mềm chống nước tốt. Sẽ mua thêm 1c nữa. Shop giảm thêm 10% đúng không ạ. Shop giảm thêm 10% đúng không ạ.",2.0
